date;id_pond;id_pair;id_male;id_male_2;id_focal_outcome;fresh_weight;wing_length;abdomen_dry_weight;thorax_dry_weight;total_dry_weight;abdomen_fat_weight;thorax_fat_weight;total_fat_weight;hue_reflec;chroma_reflec;brightness_reflec;hue_transm;chroma_transm;brightness_transm
04/fev;LA;M12M16;M12;M1245326;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
04/fev;LA;M20M13;M13;M1345326;0;0,064;1,939;0,00384;0,01066;0,0145;0,00084;0,00143;0,00227;NA;NA;NA;0,28;0,28;0,56
04/fev;LA;M17M13;M13;M1345326;0;0,064;1,939;0,00384;0,01066;0,0145;0,00084;0,00143;0,00227;NA;NA;NA;0,28;0,28;0,56
04/fev;LA;M12M16;M16;M1645326;0;0,079;1,99;0,00417;0,01361;0,01778;0,00019;0,00135;0,00154;0,82;0,38;0,02;0,26;0,3;0,56
04/fev;LA;M17M13;M17;M1745326;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
04/fev;LA;M20M13;M20;M2045326;1;0,079;NA;0,00522;0,01225;0,01747;0,00179;0,00179;0,00358;0,15;0,38;0,015;0,27;0,29;0,51
05/fev;LA;M24M2;M2;M245327;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
05/fev;LA;M24M2;M24;M2445327;1;0,084;1,949;0,0063;0,01241;0,01871;0,00304;0,00297;0,00601;0,11;0,38;0,01;0,28;0,31;0,56
07/fev;LA;M45M39;M39;M3945329;0;0,083;2,008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
07/fev;LA;M45M39;M45;M4545329;1;0,083;1,993;0,00533;0,01296;0,01829;0,00163;0,0013;0,00293;0,28;0,31;0,56;0,27;0,31;0,54
10/fev;LA;M80M81;M80;M8045332;1;0,082;2,058;0,0044;0,01284;0,01724;0,00051;0,00109;0,0016;0,15;0,31;0,02;0,24;0,32;0,58
10/fev;LA;M80M81;M81;M8145332;0;0,072;1,961;0,00451;0,01176;0,01627;0,00084;0,00155;0,00239;0,06;0,39;0,016;0,29;0,28;0,58
13/fev;LA;M117M110;M110;M11045335;0;0,087;1,986;0,00406;0,01298;0,01704;0,00064;0,00138;0,00202;0,03;0,33;0,02;0,24;0,35;0,5
13/fev;LA;M116M79;M116;M11645335;1;0,11;2,061;0,00596;0,01317;0,01913;0,00232;0,00163;0,00395;0,1;0,4;0,02;0,3;0,29;0,62
13/fev;LA;M117M110;M117;M11745335;1;0,083;1,913;0,00735;0,01217;0,01952;0,00364;0,00211;0,00575;0,09;0,39;0,01;0,29;0,29;0,6
13/fev;LA;M93M79;M79;M7945335;0;0,079;2,053;0,00349;0,0128;0,01629;0,00047;0,00149;0,00196;0,07;0,37;0,02;0,27;0,31;0,55
13/fev;LA;M116M79;M79;M7945335;0;0,079;2,053;0,00349;0,0128;0,01629;0,00047;0,00149;0,00196;0,07;0,37;0,02;0,27;0,31;0,55
13/fev;LA;M93M79;M93;M9345335;1;0,079;1,905;0,0049;0,01103;0,01593;0,00186;0,00145;0,00331;0,12;0,38;0,01;0,28;0,3;0,59
14/fev;LA;M111MNA;M111;M11145336;1;0,069;1,895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
