date;month_sampled;winner_id;winner_id_2;winner_wing_length;winner_fresh_weight;winner_total_dry_weight;winner_abdomen_dry_weight;winner_total_fat_weight;loser_id;loser_id_2;loser_wing_length;loser_fresh_weight;loser_total_dry_weight;loser_abdomen_dry_weight;loser_total_fat_weight;contest_id;overall_contest_duration;territory_id;territory_value_index;mating_rate
14/fev;fev;M111;M111_fev;1,895;0,069;NA;NA;NA;MNA;MNA_fev1;NA;NA;NA;NA;NA;M111vsMNA_LAMAT3.5;1644;LAT3.5_fev;NA;NA
13/fev;fev;M116;M116_fev;2,061;0,11;0,01913;0,00596;0,00395;M79;M79_fev;2,053;0,079;0,01629;0,00349;0,00196;M116vsM79_LAMDT22;399;LAT22_fev;0,1;0
13/fev;fev;M117;M117_fev;1,913;0,083;0,01952;0,00735;0,00575;M110;M110_fev;1,986;0,087;0,01704;0,00406;0,00202;M117vsM110_LAMDT21;927;LAT21_fev;0,666666666666667;0,33
14/fev;fev;M125;M125_fev;1,976;0,071;NA;NA;NA;MNA;MNA_fev;NA;NA;NA;NA;NA;M125vsMNA_LAMAT3;71;LAT3_fev;0,111111111111111;0
04/fev;fev;M12;M12_fev;NA;NA;NA;NA;NA;M16;M16_fev;1,990;0,079;0,01778;0,00417;0,00154;M12vsM16_LAMCT11;1188;LAT11_fev;0,5;0,25
14/fev;fev;M130;M130_fev;1,816;0,065;0,01492;0,00508;0,00351;M113;M113_fev;2,045;0,078;0,0153;0,0037;0,00161;M130vsM113_LAMCT10-11;466;LAT10-11_fev;0,5;0,25
18/mar;mar;M13;M13_mar;2,223;0,113;0,02139;0,00552;0,00261;M23;M23_mar;1,844;0,071;0,01735;0,00446;0,00237;M13vsM23_LBMAT1;860;LBT1_mar;0,3;0,2
19/mar;mar;M14;M14_mar;1,956;0,063;0,01605;0,00536;0,00749;M35;M35_mar;1,847;0,071;0,01684;0,00525;0,00306;M14vsM35_LBMBT6;108;LBT6_mar;0,222222222222222;0
18/mar;mar;M16;M16_mar;1,984;0,081;0,01832;0,00474;0,0054;Mna;Mna_mar1;NA;NA;NA;NA;NA;M16vsMna_LBMBT9;138;LBT9_mar;0,571428571428571;0,23
17/mar;mar;M17;M17_mar;2,026;0,09;0,02196;0,00701;0,00676;M26;M26_mar;1,959;0,066;0,01607;0,00524;0,003;M17vsM26_LBMCT10;2432;LBT10_mar;0,4375;0,17
07/nov;nov;M18;M18_nov;2,063;0,087;0,02393;0,00711;0,00741;M8;M8_nov;2,002;0,100;0,02701;0,00831;0,00579;M18vsM8_LBT2;813;LBT2_nov;0,666666666666667;0,14
16/mar;mar;M18;M18_mar;2,095;0,092;0,01845;0,0045;0,00197;Mna;Mna_mar2;NA;NA;NA;NA;NA;M18vsMna_LBMAT5;320;LBT5_mar;0,133333333333333;0,2
19/mar;mar;M19;M19_mar;1,996;0,051;0,0168;0,00503;0,00268;Mna;Mna_mar3;NA;NA;NA;NA;NA;M19vsMna_LBMCT9.5;1698;LBT9.5_mar;0,3;
08/nov;nov;M20;M20_nov;2,010;0,121;0,02406;0,0075;0,00814;M10;M10_nov;1,909;0,070;0,01599;0,00498;0,00293;M20vsM10_LBT10;1309;LBT10_nov;0,1875;0,25
04/fev;fev;M20;M20_fev;NA;0,079;0,01747;0,00522;0,00358;M13;M13_fev;1,939;0,064;0,0145;0,00384;0,00227;M20vsM13_LAMAT17;616;LAT17_fev;0,318181818181818;0
05/fev;fev;M24;M24_fev;1,949;0,084;0,01871;0,0063;0,00601;M2;M2_fev;NA;NA;NA;NA;NA;M24vsM2_LAMDT12;1253;LAT12_fev;0,2;0
18/mar;mar;M24;M24_mar;1,895;0,07;0,01594;0,00451;0,00207;MNA;MNA_mar;NA;NA;NA;NA;NA;M24vsMNA_LBMBT6;1661;LBT6_mar;0,222222222222222;0
16/nov;nov;M27;M27_nov;NA;NA;NA;NA;NA;M25;M25_nov;1,864;0,069;0,0142;0,00438;0,00061;M27vsM25_LBT12;903;LBT12_nov;0,000;0
18/mar;mar;M29;M29_mar;2,037;0,09;0,02;0,00536;0,00404;M2;M2_mar;2,035;0,083;0,01937;0,00451;0,00217;M29vsM2_LBMBT6.5;397;LBT6.5_mar;0,578947368421053;0,22
01/nov;nov;M2;M2_nov;1,884;0,136;0,01859;0,00623;0,00346;M3;M3_nov;1,928;0,085;0,018;0,00497;0,0031;M2vsM3_LBT2;174;LBT2_nov;0,666666666666667;0,14
21/nov;nov;M30;M30_nov;1,954;0,078;0,01931;0,00604;0,0037;M32;M32_nov;2,025;NA;NA;NA;NA;M30vsM32_LBT18;1844;LBT18_nov;0,615384615384615;0,17
25/mar;mar;M30;M30_mar;1,858;0,071;0,01784;0,00575;0,00509;M50;M50_mar;1,879;0,062;0,01628;0,00491;0,0034;M30vsM50_LBMBT7;276;LBT7_mar;0,41025641025641;0,13
30/nov;nov;M34;M34_nov;1,980;0,087;0,0226;0,00602;0,00301;M35;M35_nov;1,741;0,065;0,0147;0,00508;0,00311;M34vsM35_LBT18;990;LBT18_nov;0,615384615384615;0,17
14/dez;nov;M36;M36_dez;1,924;0,073;0,01627;0,00349;0,0014;M41;M41_dez;1,886;0,070;0,01731;0,00546;0,00284;M36vsM41_LBT18;1179;LBT18_nov;0,615384615384615;0,17
23/mar;mar;M45;M45_mar;2,003;0,078;0,02202;0,0073;0,00614;M36;M36_mar;1,826;0,066;0,01627;0,00454;0,00358;M45vsM36_LBMCT9.5;1210;LBT9.5_mar;0,3;0,2
07/fev;fev;M45;M45_fev;1,993;0,083;0,01829;0,00533;0,00293;M39;M39_fev;2,008;0,083;NA;NA;NA;M45vsM39_LAMDT12;1200;LAT12_fev;0,2;0
27/mar;mar;M52;M52_mar;1,926;0,081;0,0168;0,0045;0,0018;M48;M48_mar;1,930;0,071;0,01723;0,0048;0,00351;M52vsM48_LBMBT9;2695;LBT9_mar;0,571428571428571;0,23
31/mar;mar;M58;M58_mar;1,840;0,087;0,01702;0,00604;0,0039;M43;M43_mar;1,985;0,083;0,01669;0,00373;0,0014;M58vsM43_LBMBT7;47;LBT7_mar;0,41025641025641;0,13
16/mar;mar;M7;M7_mar;1,894;0,064;0,01615;0,0047;0,00249;M15;M15_mar;2,185;0,097;0,0257;0,00725;0,00522;M7vsM15_LBMAT2;751;LBT2_mar;0,666666666666667;0,38
10/fev;fev;M80;M80_fev;2,058;0,082;0,01724;0,0044;0,0016;M81;M81_fev;1,961;0,072;0,01627;0,00451;0,00239;M80vsM81_LAMCT10;945;LAT10_fev;0,333333333333333;0
13/fev;fev;M93;M93_fev;1,905;0,079;0,01593;0,0049;0,00331;M79;M79_fev;2,053;0,079;0,01629;0,00349;0,00196;M93vsM79_LAMDT22;358;LAT22_fev;0,1;0
