ID_transition;preceding_behavior;subsequent_behaviour;ID_contest
transition 0;ia;bf;M10vsM20_T10_LB
transition 1;bf;ro;M10vsM20_T10_LB
transition 2;ro;bf;M10vsM20_T10_LB
transition 3;bf;cc;M10vsM20_T10_LB
transition 4;cc;ebf;M10vsM20_T10_LB
transition 5;ebf;cc;M10vsM20_T10_LB
transition 6;cc;ebf;M10vsM20_T10_LB
transition 7;ebf;pa;M10vsM20_T10_LB
transition 8;pa;ebf;M10vsM20_T10_LB
transition 9;ebf;cc;M10vsM20_T10_LB
transition 10;cc;ebf;M10vsM20_T10_LB
transition 11;ebf;cc;M10vsM20_T10_LB
transition 12;cc;bo;M10vsM20_T10_LB
transition 13;bo;ebf;M10vsM20_T10_LB
transition 14;ebf;cc;M10vsM20_T10_LB
transition 15;cc;bo;M10vsM20_T10_LB
transition 16;bo;ebf;M10vsM20_T10_LB
transition 17;ebf;cc;M10vsM20_T10_LB
transition 18;cc;ebf;M10vsM20_T10_LB
transition 19;ebf;osp;M10vsM20_T10_LB
transition 20;osp;cc;M10vsM20_T10_LB
transition 21;cc;ebf;M10vsM20_T10_LB
transition 22;ebf;ho;M10vsM20_T10_LB
transition 23;ho;ebf;M10vsM20_T10_LB
transition 24;ebf;ho;M10vsM20_T10_LB
transition 25;ho;ro;M10vsM20_T10_LB
transition 26;ro;ebf;M10vsM20_T10_LB
transition 27;ebf;cc;M10vsM20_T10_LB
transition 28;cc;ebf;M10vsM20_T10_LB
transition 29;ebf;bo;M10vsM20_T10_LB
transition 30;bo;ebf;M10vsM20_T10_LB
transition 31;ebf;cc;M10vsM20_T10_LB
transition 32;cc;ebf;M10vsM20_T10_LB
transition 33;ebf;pa;M10vsM20_T10_LB
transition 34;pa;ebf;M10vsM20_T10_LB
transition 35;ebf;bo;M10vsM20_T10_LB
transition 36;bo;ebf;M10vsM20_T10_LB
transition 37;ebf;cc;M10vsM20_T10_LB
transition 38;cc;ebf;M10vsM20_T10_LB
transition 39;ebf;cc;M10vsM20_T10_LB
transition 40;cc;ebf;M10vsM20_T10_LB
transition 41;ebf;cc;M10vsM20_T10_LB
transition 42;cc;pa;M10vsM20_T10_LB
transition 43;pa;ebf;M10vsM20_T10_LB
transition 44;ebf;cc;M10vsM20_T10_LB
transition 45;cc;pa;M10vsM20_T10_LB
transition 46;pa;ebf;M10vsM20_T10_LB
transition 47;ebf;ro;M10vsM20_T10_LB
transition 48;ro;ebf;M10vsM20_T10_LB
transition 49;ebf;ec;M10vsM20_T10_LB
transition 0;ia;ro;M110vsM117_T21_LA
transition 1;ro;bf;M110vsM117_T21_LA
transition 2;bf;ro;M110vsM117_T21_LA
transition 3;ro;bf;M110vsM117_T21_LA
transition 4;bf;bo;M110vsM117_T21_LA
transition 5;bo;ebf;M110vsM117_T21_LA
transition 6;ebf;pa;M110vsM117_T21_LA
transition 7;pa;ebf;M110vsM117_T21_LA
transition 8;ebf;pa;M110vsM117_T21_LA
transition 9;pa;ebf;M110vsM117_T21_LA
transition 10;ebf;pa;M110vsM117_T21_LA
transition 11;pa;bo;M110vsM117_T21_LA
transition 12;bo;ebf;M110vsM117_T21_LA
transition 13;ebf;ho;M110vsM117_T21_LA
transition 14;ho;ebf;M110vsM117_T21_LA
transition 15;ebf;ro;M110vsM117_T21_LA
transition 16;ro;ebf;M110vsM117_T21_LA
transition 17;ebf;bo;M110vsM117_T21_LA
transition 18;bo;ho;M110vsM117_T21_LA
transition 19;ho;ebf;M110vsM117_T21_LA
transition 20;ebf;ho;M110vsM117_T21_LA
transition 21;ho;osp;M110vsM117_T21_LA
transition 22;osp;ho;M110vsM117_T21_LA
transition 23;ho;bf;M110vsM117_T21_LA
transition 24;bf;ro;M110vsM117_T21_LA
transition 25;ro;bf;M110vsM117_T21_LA
transition 26;bf;bo;M110vsM117_T21_LA
