date;month;site;id_territory;id_territory2;female_visits;copulation
02/fev;fev;LA;T3;LAT3_fev;1;0
02/fev;fev;LA;T5;LAT5_fev;1;0
02/fev;fev;LA;T3;LAT3_fev;1;0
02/fev;fev;LA;T5;LAT5_fev;0;1
02/fev;fev;LA;T2;LAT2_fev;1;0
02/fev;fev;LA;T5;LAT5_fev;2;2
02/fev;fev;LA;T6;LAT6_fev;0;0
03/fev;fev;LA;T3;LAT3_fev;0;0
03/fev;fev;LA;T5;LAT5_fev;2;1
03/fev;fev;LA;T11;LAT11_fev;0;0
03/fev;fev;LA;T4;LAT4_fev;0;0
03/fev;fev;LA;T5;LAT5_fev;1;1
03/fev;fev;LA;T11;LAT11_fev;1;1
03/fev;fev;LA;T3;LAT3_fev;0;0
03/fev;fev;LA;T5;LAT5_fev;0;0
03/fev;fev;LA;T12;LAT12_fev;1;0
03/fev;fev;LA;T17;LAT17_fev;1;0
04/fev;fev;LA;T3;LAT3_fev;0;0
04/fev;fev;LA;T5;LAT5_fev;0;0
04/fev;fev;LA;T11;LAT11_fev;0;0
04/fev;fev;LA;T17;LAT17_fev;0;0
04/fev;fev;LA;T3;LAT3_fev;0;0
04/fev;fev;LA;T6;LAT6_fev;0;0
04/fev;fev;LA;T12;LAT12_fev;0;0
04/fev;fev;LA;T17;LAT17_fev;1;0
04/fev;fev;LA;T3;LAT3_fev;0;0
04/fev;fev;LA;T5;LAT5_fev;0;0
04/fev;fev;LA;T11;LAT11_fev;0;0
04/fev;fev;LA;T17;LAT17_fev;0;0
05/fev;fev;LA;T3;LAT3_fev;0;0
05/fev;fev;LA;T5;LAT5_fev;2;0
05/fev;fev;LA;T7;LAT7_fev;1;0
05/fev;fev;LA;T18;LAT18_fev;0;0
05/fev;fev;LA;T3;LAT3_fev;0;0
05/fev;fev;LA;T5;LAT5_fev;0;0
05/fev;fev;LA;T17;LAT17_fev;0;0
05/fev;fev;LA;T18;LAT18_fev;0;0
05/fev;fev;LA;T2;LAT2_fev;1;0
05/fev;fev;LA;T5;LAT5_fev;0;0
05/fev;fev;LA;T17;LAT17_fev;0;0
06/fev;fev;LA;T23;LAT23_fev;0;0
06/fev;fev;LA;T24;LAT24_fev;0;0
06/fev;fev;LA;T3;LAT3_fev;0;0
06/fev;fev;LA;T5;LAT5_fev;0;0
06/fev;fev;LA;T11;LAT11_fev;0;0
06/fev;fev;LA;T20;LAT20_fev;0;0
06/fev;fev;LA;T17;LAT17_fev;0;0
06/fev;fev;LA;T21;LAT21_fev;0;0
06/fev;fev;LA;T21B;LAT21B_fev;0;0
06/fev;fev;LA;T22;LAT22_fev;1;0
06/fev;fev;LA;T2;LAT2_fev;0;0
06/fev;fev;LA;T5;LAT5_fev;0;0
06/fev;fev;LA;T22c;LAT22c_fev;0;0
06/fev;fev;LA;T5;LAT5_fev;0;0
06/fev;fev;LA;T17;LAT17_fev;0;0
06/fev;fev;LA;T22;LAT22_fev;0;0
06/fev;fev;LA;T22B;LAT22B_fev;0;0
06/fev;fev;LA;T11C;LAT11C_fev;0;0
07/fev;fev;LA;T2;LAT2_fev;0;0
07/fev;fev;LA;T12;LAT12_fev;0;0
07/fev;fev;LA;T1;LAT1_fev;1;0
07/fev;fev;LA;T1;LAT1_fev;0;0
07/fev;fev;LA;T2;LAT2_fev;0;0
07/fev;fev;LA;T4;LAT4_fev;0;0
07/fev;fev;LA;T5;LAT5_fev;0;0
07/fev;fev;LA;T6;LAT6_fev;1;0
07/fev;fev;LA;T8;LAT8_fev;0;0
07/fev;fev;LA;T9;LAT9_fev;0;0
07/fev;fev;LA;T10;LAT10_fev;0;0
07/fev;fev;LA;T13;LAT13_fev;0;0
07/fev;fev;LA;T14;LAT14_fev;0;0
07/fev;fev;LA;T15;LAT15_fev;1;1
07/fev;fev;LA;T16;LAT16_fev;0;0
07/fev;fev;LA;T17;LAT17_fev;0;0
07/fev;fev;LA;T18;LAT18_fev;0;0
07/fev;fev;LA;T2;LAT2_fev;1;1
07/fev;fev;LA;T4;LAT4_fev;0;0
07/fev;fev;LA;T5;LAT5_fev;0;0
07/fev;fev;LA;T6;LAT6_fev;0;0
07/fev;fev;LA;T7;LAT7_fev;0;0
08/fev;fev;LA;T1;LAT1_fev;0;0
08/fev;fev;LA;T10;LAT10_fev;0;0
08/fev;fev;LA;T11;LAT11_fev;0;0
08/fev;fev;LA;T1;LAT1_fev;2;0
08/fev;fev;LA;T3;LAT3_fev;0;0
08/fev;fev;LA;T6;LAT6_fev;0;0
08/fev;fev;LA;T8;LAT8_fev;0;0
08/fev;fev;LA;T15;LAT15_fev;0;0
09/fev;fev;LA;T1;LAT1_fev;0;0
09/fev;fev;LA;T3;LAT3_fev;0;0
09/fev;fev;LA;T7;LAT7_fev;0;0
09/fev;fev;LA;T10;LAT10_fev;0;0
09/fev;fev;LA;T12;LAT12_fev;0;0
09/fev;fev;LA;T17;LAT17_fev;0;0
09/fev;fev;LA;T19;LAT19_fev;0;0
10/fev;fev;LA;T1;LAT1_fev;0;0
10/fev;fev;LA;T2;LAT2_fev;0;0
10/fev;fev;LA;T5;LAT5_fev;0;0
10/fev;fev;LA;T6;LAT6_fev;0;0
10/fev;fev;LA;T7;LAT7_fev;0;0
10/fev;fev;LA;T9;LAT9_fev;0;0
10/fev;fev;LA;T10;LAT10_fev;0;0
10/fev;fev;LA;T13;LAT13_fev;0;0
10/fev;fev;LA;T17;LAT17_fev;0;0
10/fev;fev;LA;T18;LAT18_fev;0;0
10/fev;fev;LA;T19;LAT19_fev;2;0
10/fev;fev;LA;T22;LAT22_fev;0;0
10/fev;fev;LA;T5;LAT5_fev;1;0
10/fev;fev;LA;T9;LAT9_fev;0;0
10/fev;fev;LA;T10;LAT10_fev;0;0
10/fev;fev;LA;T13;LAT13_fev;0;0
10/fev;fev;LA;T16;LAT16_fev;0;0
10/fev;fev;LA;T17;LAT17_fev;0;0
10/fev;fev;LA;T18;LAT18_fev;0;0
10/fev;fev;LA;T2;LAT2_fev;0;0
10/fev;fev;LA;T8;LAT8_fev;0;0
11/fev;fev;LA;T10;LAT10_fev;0;0
11/fev;fev;LA;T17;LAT17_fev;0;0
11/fev;fev;LA;T18;LAT18_fev;0;0
11/fev;fev;LA;T2;LAT2_fev;0;0
11/fev;fev;LA;T8;LAT8_fev;0;0
11/fev;fev;LA;T8;LAT8_fev;0;0
11/fev;fev;LA;T16;LAT16_fev;0;0
11/fev;fev;LA;T17;LAT17_fev;0;0
11/fev;fev;LA;T19;LAT19_fev;0;0
11/fev;fev;LA;T22;LAT22_fev;0;0
11/fev;fev;LA;T1;LAT1_fev;0;0
11/fev;fev;LA;T2;LAT2_fev;0;0
11/fev;fev;LA;T1;LAT1_fev;0;0
11/fev;fev;LA;T2;LAT2_fev;0;0
11/fev;fev;LA;T8;LAT8_fev;0;0
11/fev;fev;LA;T16;LAT16_fev;0;0
11/fev;fev;LA;T17;LAT17_fev;2;0
11/fev;fev;LA;T18;LAT18_fev;1;0
12/fev;fev;LA;T2;LAT2_fev;1;1
12/fev;fev;LA;T4;LAT4_fev;0;0
12/fev;fev;LA;T13;LAT13_fev;0;0
12/fev;fev;LA;T16;LAT16_fev;0;0
12/fev;fev;LA;T18;LAT18_fev;2;1
12/fev;fev;LA;T19;LAT19_fev;1;0
12/fev;fev;LA;T8;LAT8_fev;0;0
12/fev;fev;LA;T13;LAT13_fev;0;0
12/fev;fev;LA;T16;LAT16_fev;0;0
12/fev;fev;LA;T18;LAT18_fev;0;0
12/fev;fev;LA;T22;LAT22_fev;0;0
